text	created_at	public_metrics	Google_Translation	village	region	district
"Xildhibaanno cusub oo qaatay Shahaadada uu bixinayo guddiga doorashooyinka heer Federaal.
https://t.co/Vu0CPgW5O1"	2022-04-04T10:48:51.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	New MPs receive Certificate from the Federal Electoral Commission .. https://t.co/Vu0CPgW5O1	[]	[]	[]
Xarunta guddiga doorashooyinka Heer federaal waxaa Maalintii saddexaad ka socda qaadashada shahaadda xildhibaanada labada gole ee BJFS. https://t.co/4pEJ10xjil	2022-04-04T09:52:39.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	At the Federal Electoral Commission headquarters, the BJFS is on its third day. https://t.co/4pEJ10xjil	[]	[]	[]
Gudiga doorashooyinka heer federaal oo maalintii seddexaad ka wada magalada muqdisho bixinta shahaadooyinka https://t.co/J6p4wNhJSG	2022-04-04T09:23:56.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Federal Electoral Commission launches certificates in Mogadishu for third day https://t.co/J6p4wNhJSG	['Mogadishu']	['Banadir']	['Banadir']
"Guddiga hirgelinta doorashooyinka FEIT ayaa maalintii saddexaad wada bixinta shahaadooyinka xildhibaanada labada aqal.

1. Ibrahim Awgab Osman AS#06
2. Hassan Idow Mohamed AS#22
3. Nor Mohamed Gedi AS#10

ayaa saaka qaatay shahaadooyinkooda  xildhibaannimada aqalka sare. https://t.co/whHL1Nt8xL"	2022-04-04T08:38:01.000Z	{'retweet_count': 2, 'reply_count': 1, 'like_count': 6, 'quote_count': 0}	The FEIT Election Implementation Committee (PEIT) has on the third day handed over the certificates to members of both houses of parliament. 1. Ibrahim Awgab Osman AS # 06. 2. Hassan Idow Mohamed AS # 22. 3. Nor Mohamed Gedi AS # 10. . received their diplomas in the upper house this morning. https://t.co/whHL1Nt8xL	[]	[]	[]
Guddiga hirgelinta doorashooyinka SEIT ee Hirshabeelle ayaa shaaciyay odayaasha dhaqanka kursiga HOP#039, kaas oo doorashadiisa maanta lagu qabanayo magaalada Jowhar. https://t.co/Hi9NI5K7gh	2022-04-04T04:13:19.000Z	{'retweet_count': 2, 'reply_count': 1, 'like_count': 6, 'quote_count': 0}	The SEIT Electoral Commission in Hirshabelle has announced the traditional elders for the HOP # 039 seat, which will be held in Jowhar today. https://t.co/Hi9NI5K7gh	['Jowhar']	['Middle Shabelle']	['Jowhar']
@HShPrez2Ware @UNSomalia Nin aan wax xil ah aan heyn siduu xoghaye intu ula kulmo uu kala hadli karaa arimaha doorashooyinka?	2022-04-03T23:13:48.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	@ HShPrez2Ware @UNSomalia A man who has no position can meet with a secretary to discuss election issues?	[]	[]	[]
"Guddiga doorashooyinka FEIT ayaa maalintii labaad ee shahaado bixinta cadeeyay in ay shahaadooyinkoodii ay siiyeen 58 mudane oo ka tirsan labada aqal ee baarlamaanka, xilli shalay oo la bilaabay bixinta shahaadooyinka la siiyay 54 xildhibaan.
taas oo wadarta guud ka dhigaysa 112. https://t.co/6I9jIE6SHH"	2022-04-03T18:29:07.000Z	{'retweet_count': 6, 'reply_count': 3, 'like_count': 19, 'quote_count': 0}	On the second day of the certification process, the FEIT Electoral Commission announced that it had received certificates from 58 members of both houses of parliament, while the issuance of certificates began yesterday to 54 members, bringing the total to 112. https: // t.co/6I9jIE6SHH	[]	[]	[]
"Guddiga Doorashooyinka Heer Federaal oo ka warbixiyay Shahaado siinta Xildhibaanada
https://t.co/JlPCY2Z6M9 https://t.co/3wCZMSUEJY"	2022-04-03T16:42:08.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Federal Electoral Commission reports on Certification of MPs. https://t.co/JlPCY2Z6M9 https://t.co/3wCZMSUEJY	[]	[]	[]
Xarunta Muqdisho ee Guddiga Hirgelinta Doorashooyinka Heer Federaal (FEIT) waxaa si habsi maleh ugu socoto maalintii 2-aad Shahaado siinta Xildhibaanada labada gole ee dhawaan la doortay. https://t.co/4LLMNMPqFo	2022-04-03T15:12:03.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Mogadishu headquarters of the Federal Election Implementation Committee (FEIT). The second day of the certification of the members of the two newly elected councils is well underway. https://t.co/4LLMNMPqFo	['Mogadishu']	['Banadir']	['Banadir']
waa marqaati nool oo cadeynaya xil. Cabdicasiis Laftagareen oo u dabaaldegaya shahaadadii Xildhibaanimo ee baarlamaamkii 10aad, isaga oo ka guddoomaya mudane Siciid Jamac Qoorsheel oo markaas ahaa xubin ka mid ah guddigii doorashooyinka ee FEIT ee 2016-kii. https://t.co/C0YPy2Qlbx	2022-04-03T15:02:19.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	he is a living witness to a duty. Abdiaziz Laftagareen celebrates his 10th term as a Member of Parliament, presided over by Said Jama Qorsheel, then a member of the 2016 FEIT Electoral Commission. https://t.co/C0YPy2Qlbx	[]	[]	[]
