text	created_at	public_metrics	Google_Translation	village	region	district
Ciyaal aan dagaal aqoon ayaa dadka neec ula imanaaya https://t.co/hnMgN8Ava3	2022-04-05T23:58:31.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Children who do not know how to fight come to https://t.co/hnMgN8Ava3	[]	[]	[]
@HSNQ_NISA Waa sheeko lagu xalaalsanayo in lagu weerar Raysal wasaaraha waan lamid ku wii hore 1 yariisow 2- Galaal 3- iyo xildhibaanad aamina 4- Ikraan tahliil.	2022-04-05T23:16:14.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	@HSNQ_NISA It is a story that justifies attacking the Prime Minister. I am the same as before.	[]	[]	[]
"These are the names of pro-Farmaajo who intended to disrupt the implementation of parliamentary swearing schedule&amp; recieved final warnings by Roble:
1. Yusuf Abdikheyr Abdinur
2. Abdinasir Mohamed Guled
3. Abdijabbar Abdullahi Farah
4. Ahmed Adan Dagaal
5. Sadiyo Hassan Hussein https://t.co/4BkViyksqb"	2022-04-05T22:58:37.000Z	{'retweet_count': 9, 'reply_count': 0, 'like_count': 11, 'quote_count': 0}	These are the names of pro-Farmaajo who intended to disrupt the implementation of parliamentary swearing schedule &amp;. recieved final warnings by Roble:. 1. Yusuf Abdikheyr Abdinur. 2. Abdinasir Mohamed Guled. 3. Abdijabbar Abdullahi Farah. 4. Ahmed Adan Dagaal. 5. Sadiyo Hassan Hussein https://t.co/4BkViyksqb	[]	[]	[]
"Nuxurka spacekan caawa looga hadlay waxuu ahaa: In dagaal ooge qaatil ah in Barlamanka Somalia uu ka mid noqon karo. Balse in uusan ka mid noqon karin shaqsi eedeysane ah.

Qabyaaladii qarankeeni lagu bur-buriyey oo Twitter space lagu soo bandhigay 2022.

 https://t.co/oCaY31BBn8"	2022-04-05T22:41:14.000Z	{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}	The gist of what was discussed tonight was: That a murderous warlord could be part of the Somali Parliament. But that he cannot be part of the accused individual ... Tribalism destroyed our nation and Twitter space introduced 2022 ... https://t.co/oCaY31BBn8	[]	[]	[]
Xog: RW Rooble oo Qarax Loo Maleegayo! https://t.co/ExsrMwJpgz via @YouTube	2022-04-05T21:52:42.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	Source: PM Roble to be bombed! https://t.co/ExsrMwJpgz via @YouTube	[]	[]	[]
"DEGDEG:  Gadiid dagaal oo aad u badan ayaa lagu soo daadiyey  Isgoyska Sanca illaa Afar darjiin. Goobjoogayaal aan la hadlay ayaa iisheegay in hub culus lagu arkayo gaadiidka iyo Ciidanka halkaas jooga.

Lama oga cidda ay taabacsan yihiin Ciidankaas iyo ujeedada halkaas loo keen"	2022-04-05T21:47:34.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	EMERGENCY: A large number of military vehicles have been dumped at the Sana&#39;a Intersection to Four Gardens. Witnesses I spoke to told me that heavy weapons were seen on vehicles and troops there. It is unknown at this time what he will do after leaving the post	[]	[]	[]
@GaroweOnline @AHGuled @HSNQ_NISA @M_Farmaajo @MohamedHRoble Keenyaay haku daalina in dadkeenu udagaallamaan dagaal isxambaarsigiina eed ku burburineysaan dalkeena. Hadii Amriika iyo Ingiriis daciifeen ee rafashadii ugu danbeysay ku jiraan oo harkii weynaa ee umadeenu wada harsan jirtay dib usoo noqday hadaba iska soo wareejiya muunbaasa https://t.co/sj8hh4iziJ	2022-04-05T21:29:47.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	@GaroweOnline @AHGuled @HSNQ_NISA @M_Farmaajo @MohamedHRoble Kenya do not tire of our people fighting for your war and destroying our country. If the US and the UK are weak and in the midst of the last violence and the great shadow of our nation is back then transfer the sample https://t.co/sj8hh4iziJ	[]	[]	[]
Ciidamada Haramcad oo sheegay inay baadi goobayaan oo waliba si dagdag u raadinayaan Maahir Maxamed oo la sheegay inuu weerar kusoo yahay Rooble iyo Farmaajo. https://t.co/4IM1MPWtNn	2022-04-05T21:21:24.000Z	{'retweet_count': 1, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}	Cheetah forces say they are searching for Mahir Mohamed, who is said to be attacking Roble and Farmajo. https://t.co/4IM1MPWtNn	[]	[]	[]
@ha_noolaato @MohamedHRoble @M_Farmaajo Waar nio horta maanad waxba baran dadka aqoonta leh baan ku moodayee qabyaalada iska dhaaf wax cad ma haysid illaa maanta iyo cid dagaal kula jirta raysal wasaaraha siyaasada fahan ama iska daa nio howlahan	2022-04-05T21:17:18.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	@ha_noolaato @MohamedHRoble @M_Farmaajo I&#39;m not educated yet, I think educated people.	[]	[]	[]
"DEGDEG:  Gadiid dagaal oo aad u badan ayaa lagu soo daadiyey  Isgoyska Sanca illaa Afar darjiin. Goobjoogayaal aan la hadlay ayaa iisheegay in hub culus lagu arkayo gaadiidka iyo Ciidanka halkaas jooga.

Cali Aadan Muumin"	2022-04-05T20:53:21.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	EMERGENCY: A large number of military vehicles have been dumped at the Sana&#39;a Intersection to Four Gardens. Witnesses I spoke to told me that heavy weapons were seen on vehicles and troops there. Ali Adan Mumin	[]	[]	[]
Sanad Kadib Muddo korarsigii fashilmay muqdisho ayaa laga cabsi qabaa in mar-kale ay dagaal ka qarxo https://t.co/Ia7cePG5sE	2022-04-05T20:25:53.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	A year after the failed extension in Mogadishu, there are fears of renewed fighting https://t.co/Ia7cePG5sE	['Mogadishu']	['Banadir']	['Banadir']
@DualehKad Waxaa ka digayaa dalkan in dagaal sokeeye dib loogu celin.	2022-04-05T20:23:47.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	@DualehKad I warn this country not to go back to civil war.	[]	[]	[]
Nin walba ceesaantiisii ceel keensay Reer Ukraine Russia dagaal uma soo gelin ee deeq ku raagtay buu soo gudbinayay.https://t.co/xSgeLiiiki	2022-04-05T19:51:47.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}	Every man brought his goat to the well.	[]	[]	[]
@MohamoudGaildon Waan sax in loo digo. Sababtu waxaa weeye. Waa wax dhici kara in la dilo RW iyo mucaarad kale si dagaal loo geliyo Somali. Amina sidii loo khaarijiyey camal. Meeshan laba qorshe ayaa ka socda. In dhulka lala Gooyo Somali iyo wax dawlad ura. In lagu kiciyo dadka Madaxweynaha.	2022-04-05T19:30:18.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	@MohamoudGaildon I&#39;m right to warn you. The reason is. It is possible that the PM and other opposition members will be killed in a war against Somalia. Amina as she was assassinated. There are two plans in place here. Land grabbing by Somalis and government stinks. To incite the people of the President.	[]	[]	[]
"""Isagoo sii socda ayey ka daba yimaadeen laba gabdhood, markaas ayey mid ka mida gabdhii kale ku tiri muuqaal iga duub aan hadhaw dhahee waa daanyeerkayga. Inta uu maqlay Ayaa dagaal goobta ka dhacay 😂

Bal dulmigaa eeg baaba xaliye dadka Balo aw baray.😂😂😂"	2022-04-05T19:17:07.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}	&quot;As he was walking, two girls followed him, and one of them said to the other girl, &#39;Record me and I will say later that he is my monkey.&#39; 😂😂😂	[]	[]	[]
@hon_khadija Mama Khadijo bullet proof xiro kan waa goob dagaal parlamaan ma dhihi karnee.	2022-04-05T18:59:16.000Z	{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}	@hon_khadija Mama Khadijo bullet proof arrest this is a battlefield parliament we can&#39;t say.	[]	[]	[]
